,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
118290,118290,Artesana 2011 Tannat-Merlot (Canelones),Artesana 2011 Tannat-Merlot (Canelones),Artesana,Tannat-Merlot,Red,"Mint, leather and berry aromas result in a strong, warm bouquet with a note of just-run horse and saddle. In the mouth, this feels good and rich, with weight and acidity for balance. Flavors of carob, mint and herbs accent core black-fruit notes, and the finish is dark, with licorice and chocolate flavors.",Uruguay,Canelones,29,88
118291,118291,Baker & Brain 2012 Paragon Vineyard Grenache Blanc (Edna Valley),Baker & Brain 2012 Paragon Vineyard Grenache Blanc (Edna Valley),Baker & Brain,Grenache Blanc,White,"Fruity flavors of oranges, nectarines and peaches star in this bright, crisply acidic wine. The winery doesn't say if there was any oak used, but if so, it was minimal. Lees stirring gives it a creamy, yeasty complexity. Try this interesting wine as an alternative to Chardonnay.",US,California,24,88
118295,118295,Herdade Grande 2012 Colheita Seleccionada White (Alentejano),Herdade Grande 2012 Colheita Seleccionada White (Alentejano),Herdade Grande,Portuguese White,White,"This fruity wine boasts flavors of mango, pineapple and apricot. It is full and ripe, with bright fruitiness and ample acidity. Some wood aging adds an attractive toasty accent to this warm wine.",Portugal,Alentejano,15,88
118301,118301,Marchesi di Barolo 2015 Zagara  (Moscato d'Asti),Marchesi di Barolo 2015 Zagara  (Moscato d'Asti),Marchesi di Barolo,Moscato,Rose,"Chopped herb, white spring flower and yellow stone fruit aromas jump out of the glass. The rich, frothy palate offers candied nectarine zest, apricot and lemon drop set against a soft, foaming perlage.",Italy,Piedmont,19,88
118306,118306,Telmo Rodríguez 2013 Gago  (Toro),Telmo Rodríguez 2013 Gago  (Toro),Telmo Rodríguez,Tinta de Toro,Red,"Blackberry and cassis aromas are robust and typical for Toro. In the mouth, however, this is super tannic and like gravel. Dark berry flavors are well oaked, while the finish tastes of blackberry and chocolate but feels tannic as nails. Drink or hold; this will always be a rough wine.",Spain,Northern Spain,32,88
118308,118308,Joseph Cattin NV Brut Pinot Blanc (Alsace),Joseph Cattin NV Brut Pinot Blanc (Alsace),Joseph Cattin,Pinot Blanc,White,The merest hint of pineapple hovers above the glass. This leads onto a full-fruited generous and fizzy palate of ripe mirabelle plum. It is exuberant with big bubbles of joy. Freshness is evident in the lemony tartness which provides a welcomed balance.,France,Alsace,23,88
118312,118312,Villa Sparina 2012 Brut Balcn de Blancs Metodo Classico  (Gavi),Villa Sparina 2012 Brut Balcn de Blancs Metodo Classico  (Gavi),Villa Sparina,Cortese,White,"Made with the Cortese grape, this fresh sparkler opens with scents of pressed wild flower and bread crust. The bright palate offers mature peach, hazelnut and mineral alongside an elegant perlage.",Italy,Piedmont,29,88
118315,118315,En Garde 2014 Vista Luna Vineyard Borden Ranch Albariño (Lodi),En Garde 2014 Vista Luna Vineyard Borden Ranch Albariño (Lodi),En Garde,Albariño,White,"Very smooth and quietly flavorful, this wine has more almond and vanilla notes than overt fruitiness, making it a subtle treat. It's full-bodied and soft on the palate, with good concentration.",US,California,28,88
118316,118316,Endrizzi 2009 Pian Castello Rosé Metodo Classico Pinot Nero (Trento),Endrizzi 2009 Pian Castello Rosé Metodo Classico Pinot Nero (Trento),Endrizzi,Pinot Nero,Red,"Toasted aromas, oak and a whiff of woodland berry lead the nose. The bright palate offers strawberry, bread crust, toasted hazelnut and a hint of graphite alongside a silky perlage. Enjoy soon.",Italy,Northeastern Italy,29,88
118319,118319,Flywheel 2014 Boer Vineyard Grenache (Chalone),Flywheel 2014 Boer Vineyard Grenache (Chalone),Flywheel,Grenache,Red,"Light in the glass, this bottling shows crushed thyme and oregano herbs along with hibiscus, pomegranate and red-cherry fruit on the nose. The palate offers a fruit-punch character at first, with flavors of sour mulberries providing further intrigue.",US,California,28,88
118323,118323,Tinhof NV Rosé Blaufränkisch (Burgenland),Tinhof NV Rosé Blaufränkisch (Burgenland),Tinhof,Blaufränkisch,Red,"Freshly cut red apples on the nose are very appetizing. The palate adds an strawberry note with frothy, refreshing and lively bubbles. This is an exquisite summer wine, spelling ease, joy and refreshment, with a just off-dry finish. It virtually calls for a picnic basket.",Austria,Burgenland,19,88
118326,118326,Casa Cadaval 2012 Preta Vinhas Velhas Trincadeira (Tejo),Casa Cadaval 2012 Preta Vinhas Velhas Trincadeira (Tejo),Casa Cadaval,Trincadeira,Red,"From 60-year-old bush vines, this is rich, spicy and with a soft texture. Black fruits give a ripe character and a smooth texture that is beginning to bring in some secondary, earthy flavors. Drink this mature wine now.",Portugal,Tejo,16,88
118327,118327,Casal da Coelheira 2015 Private Collection Branco Verdelho (Tejo),Casal da Coelheira 2015 Private Collection Branco Verdelho (Tejo),Casal da Coelheira,Verdelho,White,"There is a toasty character to this wine with its (not unpleasant) lightly oxidized flavors. There is also perfumed fruit and flavors of ripe rich fruitiness. It is a finely structured wine, ready to drink now.",Portugal,Tejo,15,88
118328,118328,Cooperativa Agricola de Santo Isidro de Pegoes 2013 Adega de Pegões Touriga Nacional (Península de Setúbal),Cooperativa Agricola de Santo Isidro de Pegoes 2013 Adega de Pegões Touriga Nacional (Península de Setúbal),Cooperativa Agricola de Santo Isidro de Pegoes,Touriga Nacional,Red,"The 12-months of oak aging has given this wine a fine structure, hints of mint and attractive tannins. Grown in vineyards south of Lisbon, it is ripe and sunny, while still firm. It is wine that is now ready to drink.",Portugal,Península de Setúbal,36,88
118337,118337,Henry of Pelham 2011 Icewine Vidal (Niagara Peninsula),Henry of Pelham 2011 Icewine Vidal (Niagara Peninsula),Henry of Pelham,Vidal,Rose,"A delicious though somewhat reserved wine with notes of lychee, honey, sugared pineapple and mint. It's rich in feel with abundant marmalade flavors, while staying well balanced and never going too over the top.",Canada,Ontario,45,89
118342,118342,Demetria 2010 North Slope Syrah-Viognier (Santa Ynez Valley),Demetria 2010 North Slope Syrah-Viognier (Santa Ynez Valley),Demetria,Syrah-Viognier,Red,"The addition of a few drops of Viognier was an important and intelligent winemaking decision. It takes Syrah's blackberries, cherries and currants, which are a little soft and direct, and gives them Viognier's acidic boost, as well as a stimulating cut of lime. Drink this wine soon, but decant it for an hour or two.",US,California,37,89
118343,118343,Domaine de l'Idylle 2012 Cruet Jacquère (Savoie),Domaine de l'Idylle 2012 Cruet Jacquère (Savoie),Domaine de l'Idylle,Jacquère,White,"Soft and light, this is a fresh, fragrant wine, full of bright, lemony acidity and fruitiness. It's the perfect apéritif with its lively texture and bouncy, crisp feel.",France,France Other,14,89
118344,118344,Domaine de l'Idylle 2012  Roussette de Savoie,Domaine de l'Idylle 2012  Roussette de Savoie,Domaine de l'Idylle,Altesse,White,"This very lemony wine is crisp and cool from the mountain vineyards of Savoy. It has a bright, creamy texture and baked-apple and pear flavors accented with a shot of citrusy acidity. It's a wine to drink now.",France,France Other,18,89
118348,118348,Jeaunaux-Robin NV Sélection Extra Brut  (Champagne),Jeaunaux-Robin NV Sélection Extra Brut  (Champagne),Jeaunaux-Robin,Champagne Blend,White,"In keeping with the dry style that marks Jeaunaux-Robin Champagne, this is a taut, crisply fruity wine. It has light, bright fruits with a touch of more mature toast and cookie flavors. It's just ready to drink.",France,Champagne,75,89
118359,118359,Prieler 2015 Johanneshöhe Blaufränkisch (Burgenland),Prieler 2015 Johanneshöhe Blaufränkisch (Burgenland),Prieler,Blaufränkisch,Red,"The nose is still shy and closed. Likewise, the body is taut and will take time to unfurl, but all the structure and promise is already here. This wine is firm and bright, slowly showing dense blueberry notes edged with cinnamon and pervaded by freshness. The structure is firm and still crunchy but with a juicy release. On the finish, white pepper shimmers in the blueberry fruit. Drink 2019–2029.",Austria,Burgenland,20,93
118395,118395,Stolpman 2013 La Croce Sangiovese-Syrah (Ballard Canyon),Stolpman 2013 La Croce Sangiovese-Syrah (Ballard Canyon),Stolpman,Sangiovese-Syrah,Red,"Always an eye-opening bottling, this blends 50% Sangiovese with 50% Syrah. This vintage shows cooked blackberries, baked plums, balsamic vinaigrette and black rocks on the nose. The palate is juicy and energetic, blending dark fruit with bright acidity, coffee and caramel flavors, with strong tannins for structure.",US,California,66,90
118397,118397,Don Bernardino 2012 Amandi Mencía (Ribeira Sacra),Don Bernardino 2012 Amandi Mencía (Ribeira Sacra),Don Bernardino,Mencía,Red,"Earthy plum and cherry aromas score points for being clear and direct. The palate on this varietal Mencía is round, smooth and just right. Lightly briny, earthy plum and cherry flavors hold steady on the finish, with a dash of saltiness.",Spain,Galicia,17,90
118398,118398,Benoît Daridan 2014 Vieilles Vignes Romorantin (Cour-Cheverny),Benoît Daridan 2014 Vieilles Vignes Romorantin (Cour-Cheverny),Benoît Daridan,Romorantin,White,"Produced from the rare Romorantin grape, this wine is honeyed as well as crisp and fragrantly fruity. The 50-year-old vines give extra concentration to this lightly wood-aged wine that is ripe while also light and poised. Drink now, although it would be better to keep it until 2017.",France,Loire Valley,20,90
118413,118413,Espuela del Gaucho 2011 Gaucho Spur Torrontés (Mendoza),Espuela del Gaucho 2011 Gaucho Spur Torrontés (Mendoza),Espuela del Gaucho,Torrontés,White,"Typically fragrant, with floral aromas vying with mildly green notes of lime and lychee. Feels tangy and downright citric, with lemon, orange, lime and green apple flavors. Cleansing and acidic on the finish, with lemony snap.",Argentina,Mendoza Province,13,84
118421,118421,Two Oceans 2011 Moscato (Western Cape),Two Oceans 2011 Moscato (Western Cape),Two Oceans,Moscato,Rose,"Sweet but not overdone, with attractive aromas of lychee, peach and rose water. Medium weight, with a fruity but somewhat thin finish. Drink now.",South Africa,Western Cape,10,84
118438,118438,Mastroberardino 2012  Greco di Tufo,Mastroberardino 2012  Greco di Tufo,Mastroberardino,Greco,White,This gorgeous white from southern Italy has enticing aromas of apricots along with lemon zest and almond. The structured but elegant palate delivers intense peach and citrus notes along with crisp acidity that leaves a clean finish. Pair this with seafood or fresh pasta salads.,Italy,Southern Italy,25,90
118443,118443,Beresan 2012 deVine White (Walla Walla Valley (WA)),Beresan 2012 deVine White (Walla Walla Valley (WA)),Beresan,Rhône-style White Blend,White,"This intriguing blend of Viognier, Roussanne, Marsanne and Sémillon comes from a trio of excellent Walla Walla vineyards. Fresh grapefruit, pineapple and peach notes swirl together, framed by light almond. Young, forward and delicious, it has the length and stuffing to age for another 3–5 years.",US,Washington,16,90
118446,118446,Château Tour des Gendres 2011 Moulin des Dames White (Bergerac Sec),Château Tour des Gendres 2011 Moulin des Dames White (Bergerac Sec),Château Tour des Gendres,Bordeaux-style White Blend,White,"Very rich and packed with yellow and tropical fruits, this is a complex, wood-aged wine. It has a strong toasty edge that gives burnt spice that is balanced by the rich fruitiness. Acidity follows, making an appearance in the fresh finish. Drink from 2014.",France,Southwest France,36,90
118449,118449,Lagar de Indra 2012 Albariño (Rías Baixas),Lagar de Indra 2012 Albariño (Rías Baixas),Lagar de Indra,Albariño,White,"Minerally lemon and stone-fruit aromas set up a leesy, layered palate with delicious flavors of lemon cake, tangerine and apple. The finish is clear and fairly long, with some creaminess. This is totally uncomplicated and tastes great. For the price you can't ask for much more.",Spain,Galicia,14,90
118452,118452,Alain Jaume et Fils 2011 Grand Garrigue Red (Vacqueyras),Alain Jaume et Fils 2011 Grand Garrigue Red (Vacqueyras),Alain Jaume et Fils,Rhône-style Red Blend,Red,"A perennially attention-worthy wine, the Jaume family's Grande Garrigue Vacqueyras combines bold black cherry fruit with spicy notes suggestive of licorice root and bay leaf. It's full bodied and round in the mouth, but the fruit remains fresh, ending on a mouthwatering note of acidity. Drink now–2018.",France,Rhône Valley,29,90
118453,118453,Lavau 2011 Red (Châteauneuf-du-Pape),Lavau 2011 Red (Châteauneuf-du-Pape),Lavau,Rhône-style Red Blend,Red,"This medium-sized négociant is making an effort at upgrading its wines, and this is a solid example. Thyme and bay leaf notes mark the black cherry fruit, picking up hints of black tea that turn dusty and dry on the finish. A bit stern for the vintage, it should be consumed over the next couple of years before the fruit fades.",France,Rhône Valley,34,90
118459,118459,Château de la Ragotiere 2012 Les Frères Couillaud Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Château de la Ragotiere 2012 Les Frères Couillaud Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Château de la Ragotiere,Melon,White,"A complex style of Muscadet, this starts with crisp citrus flavors and a tight structure. It has density and a fine, nervy edge that offers a delicate perfumed character as well as the possibility of aging. Drink from 2014. Screwcap.",France,Loire Valley,16,90
118462,118462,Gadais Père et Fils 2010 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Gadais Père et Fils 2010 Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Gadais Père et Fils,Melon,White,"As dense as Muscadet gets, this is a full, concentrated wine in its white fruit flavors. Its broad, rounded character is pierced by lemon and lime acidity. Age for six months.",France,Loire Valley,18,90
118463,118463,Godelia 2009 Selección Mencía (Bierzo),Godelia 2009 Selección Mencía (Bierzo),Godelia,Mencía,Red,"Briary, woody, scratchy aromas announce plenty of new oak, and there are also balsamic notes, leather and wild berry scents to ponder. The palate is big, grapy and lusty, while the flavors are baked, jammy and finish with a clear note of raisin as well as chocolate.",Spain,Northern Spain,42,90
118493,118493,Herdade da Comporta 2010 Comporta Alicante Bouschet (Península de Setúbal),Herdade da Comporta 2010 Comporta Alicante Bouschet (Península de Setúbal),Herdade da Comporta,Alicante Bouschet,Red,"The red-juice grape Alicante Bouschet gives a fine performance here. It has produced a firm, structured wine with fine tannins as well as generous black fruit. It comes from a hot year in the region, producing great ripe, sweet fruit as well as intense acidity. The wine is just now ready to drink and will still mature further, at least until 2022.",Portugal,Península de Setúbal,50,93
118496,118496,Michael Florentino 2010 Monastrell AKA Mourvèdre Monastrell (Red Mountain),Michael Florentino 2010 Monastrell AKA Mourvèdre Monastrell (Red Mountain),Michael Florentino,Monastrell,Red,"This is a nice, drinkable red from Red Mountain, though it does not have any varietal focus. There's light red fruit, some sense of minerality, and balancing acidity.",US,Washington,28,87
118503,118503,Chandon NV Rosé Sparkling (California),Chandon NV Rosé Sparkling (California),Chandon,Sparkling Blend,Rose,"Honey-sweet flavors of raspberries, pink grapefruits and guavas, along with hints of vanilla and yeast mark this salmon-colored blush. Try with sushi, smoked salmon, mushroom risotto.",US,California,22,87
118506,118506,Sobon Estate 2010 ReZerve Tannat (Lodi),Sobon Estate 2010 ReZerve Tannat (Lodi),Sobon Estate,Tannat,Red,"It's hard to find any Tannat in California— let alone good Tannat—and Sobon has done a nice job here, combining leather and boysenberry fruit to good effect. In the back layers is a trace of menthol.",US,California,24,87
118514,118514,Gloria Ferrer NV VA de VI Ultra Cuvée Sparkling (Sonoma County),Gloria Ferrer NV VA de VI Ultra Cuvée Sparkling (Sonoma County),Gloria Ferrer,Sparkling Blend,Rose,"Mostly Pinot Noir, with a few drops of Chardonnay and Muscat, this slightly sweet bubbly is a little scoury, with hard-edged bubbles. It has orange, lime and strawberry flavors, with the toasty yeastiness of Champagne.",US,California,24,87
118515,118515,Cooper Vineyards 2010 Chambourcin (Virginia),Cooper Vineyards 2010 Chambourcin (Virginia),Cooper Vineyards,Chambourcin,Red,"Aromas of leather, undergrowth and cedary spice mesh with notes of blackberry and dark cherry. Medium to full in body, this Chambourcin is built with dusty tannins and balanced acids. Touches of toasty oak and blackberry mark the palate, and it finishes with tenacity.",US,Virginia,25,87
118516,118516,Domaine Mirabau 2011 Red (Côtes du Roussillon),Domaine Mirabau 2011 Red (Côtes du Roussillon),Domaine Mirabau,Rhône-style Red Blend,Red,"Here's a bright and aromatic selection, with forward aromas of red plum, cherry and raspberry. Mouthwatering and inviting, ripe and juicy fruit flavors flood the palate. This is fresh, lively and extremely approachable now.",France,Languedoc-Roussillon,13,87
118518,118518,Molliver Vineyards NV Chambourcin (Virginia),Molliver Vineyards NV Chambourcin (Virginia),Molliver Vineyards,Chambourcin,Red,"Dark and intriguing, this wine offers notes of dried sour cherries and plums, plus touches of pink roses, chocolate and brown spices. Medium to full in body, the flavors come across a touch wooly, and the palate feels soft, pliant and polished. A hint of tart black-raspberry candy marks the finish.",US,Virginia,11,86
118520,118520,Vie di Romans 2011 Vieris Sauvignon (Friuli Isonzo),Vie di Romans 2011 Vieris Sauvignon (Friuli Isonzo),Vie di Romans,Sauvignon,Red,"Matured on its lees for eight months in barriques, this wine offers aromas of crushed tomato vine, evident oak and vanilla. The palate boasts cantaloupe and green melon flavors, along with vanilla and bitter wood sensations.",Italy,Northeastern Italy,43,86
118523,118523,Boeckel 2012 Vieilles Vignes Sylvaner (Alsace),Boeckel 2012 Vieilles Vignes Sylvaner (Alsace),Boeckel,Sylvaner,White,"Intensely peppery as well as fruity, this is a tight, crisp wine. It has creamy acidity as well as a more nervy, mineral character that shows a tangy texture at the end.",France,Alsace,20,86
118526,118526,Brick & Mortar 2016 Vin Clair Pinot-Chardonnay (Napa Valley),Brick & Mortar 2016 Vin Clair Pinot-Chardonnay (Napa Valley),Brick & Mortar,Pinot-Chardonnay,White,"Clear as a white wine, this combines 53% Pinot Noir and 47% Chardonnay into a golden hay color that shows a distinct crispness and low to no oak. High acidity is further accentuated by sharp flavors of green apple and lime.",US,California,28,90
118527,118527,Bruno Gobillard NV Domaine Vieilles Vignes Brut  (Champagne),Bruno Gobillard NV Domaine Vieilles Vignes Brut  (Champagne),Bruno Gobillard,Champagne Blend,White,"In order to maintain freshness and crispness in his Champagnes, this producer blocks malolactic fermentation. That results in a wine that is fruity yet on the dry side of Brut. Citrus and green apple flavors dominate the tight and textured palate. Drink now.",France,Champagne,49,90
118530,118530,Guastaferro 2012 Memini Aglianico (Irpinia),Guastaferro 2012 Memini Aglianico (Irpinia),Guastaferro,Aglianico,Red,"Aromas of red berry, blue flower, tilled soil, menthol and a smoky whiff of flint swirl around the glass. On the vibrant linear palate, notes of licorice and white pepper accent sour cherry and pomegranate while a graphite note closes the finish. This is elegant and balanced, with youthfully firm tannins and bright acidity.",Italy,Southern Italy,60,90
118533,118533,Pride Mountain 2013 Reserve Claret (Sonoma County-Napa County),Pride Mountain 2013 Reserve Claret (Sonoma County-Napa County),Pride Mountain,Claret,Rose,"This robust wine is made from 62% Merlot, 37% Cabernet Sauvignon and 1% Petit Verdot. Herbal in personality, it retains a full-bodied ripeness of concentrated fruit, showcased in tobacco, leather and licorice. The tannins are sizable and grippy.",US,California,140,90
118537,118537,Contino 2011  Rioja,Contino 2011  Rioja,Contino,Graciano,Red,"Bold oak on the nose places aromas of hickory and smoke atop sappy berry scents. A clampy tannic, high-energy palate is emboldened by penetrating acidity, while flavors of plum, berry, tomato and spice are lifted by that same acidity. This is still young, jagged and abrasive on the finish. Drink through 2028.",Spain,Northern Spain,140,90
118545,118545,Bodegas Perica 2005 Viña Olagosa Gran Reserva  (Rioja),Bodegas Perica 2005 Viña Olagosa Gran Reserva  (Rioja),Bodegas Perica,Tempranillo Blend,Red,"Leathery oaky berry aromas are a touch gritty. Grabby tannins and blazing acidity make for a dry scratchy mouthfeel. Flavors of red plum, tomato and spiced berry fruits finish with notes of black pepper, cocoa, tree bark and coffee. Drink now through 2026.",Spain,Northern Spain,21,90
118550,118550,Casa da Passarella 2015 Somontes Encruzado (Dão),Casa da Passarella 2015 Somontes Encruzado (Dão),Casa da Passarella,Encruzado,White,"Vineyards on the western slopes of the Serra da Estrela, Portugal's highest mountain range, give this fine expression of the local star white grape. With a creamy texture, apricot and citrus fruits and a tangy lemon zest texture, this is a delicious, balanced wine, ready to drink now.",Portugal,Dão,18,90
118551,118551,Castelnau NV Réserve Brut  (Champagne),Castelnau NV Réserve Brut  (Champagne),Castelnau,Champagne Blend,White,"Crisp and fruity, this mature-tasting wine has a fine toasty element in the background. Ripe and full with a creamy texture and warming aftertaste, it's ready to drink.",France,Champagne,70,90
118552,118552,Chronic Cellars 2015 Stone Fox White (Paso Robles),Chronic Cellars 2015 Stone Fox White (Paso Robles),Chronic Cellars,Rhône-style White Blend,White,"The Beckett brothers show their blending skills in this crisp mix of 41% Grenache Blanc, 37% Viognier and 22% Picpoul, which shows apple blossoms, peach and wet stone on the nose. The palate is solidly crisp and texturally grippy, with fresh-cut melon and lime pith served atop tongue-tingling acidity.",US,California,20,90
118556,118556,Château Deffends 2012 White (Côtes de Provence),Château Deffends 2012 White (Côtes de Provence),Château Deffends,Provence white blend,White,"Some lemon-zest texture characterizes this otherwise rounded wine. It has good bright fruitiness, a hint of wood and full white fruit flavors. It needs to age, so drink from early 2015.",France,Provence,15,87
118558,118558,Di Giovanna 2013 Grillo (Terre Siciliane),Di Giovanna 2013 Grillo (Terre Siciliane),Di Giovanna,Grillo,Red,"Made from organically grown grapes, this bright wine offers sensations of peach blossom, green apple and white peach accented with hints of white pepper. Fresh acidity gives it a crisp finish while a saline note signals the close.",Italy,Sicily & Sardinia,18,87
118559,118559,Emina 2013 Verdejo (Rueda),Emina 2013 Verdejo (Rueda),Emina,Verdejo,White,"Stony citrus aromas blend with green notes and lees-based vanilla. This is lean and citrusy on the tongue, with nectarine, citrus and green-herb flavors. A zesty finish is a bit shallow, but overall this fresh wine is easy to like.",Spain,Northern Spain,11,87
118568,118568,Luigi Maffini 2012 Kràtos Fiano (Paestum),Luigi Maffini 2012 Kràtos Fiano (Paestum),Luigi Maffini,Fiano,White,An alluring fragrance of orange blossom and mature pear wafts out of the glass while the round palate delivers sweet honeydew melon and juicy green apple. The ripe fruit is balanced by fresh acidity.,Italy,Southern Italy,25,87
118569,118569,Mas de Pampelonne 2013 Rosé (Côtes de Provence),Mas de Pampelonne 2013 Rosé (Côtes de Provence),Mas de Pampelonne,Rosé,Rose,"Close to the beach of Pampelonne, this is a ancient vineyard. It has produced a 2013 that is full of fruit, dense red flavors and fresh acidity. The wine is rich and lightly textured.",France,Provence,18,87
118570,118570,Novy 2012 Zinfandel (Russian River Valley),Novy 2012 Zinfandel (Russian River Valley),Novy,Zinfandel,Red,"It shows ultrarich tannins and a flavor complexity ranging from briary wild blackberries and prunes to currants, nettles, sweet tea and softened cola. It's absolutely dry, despite or perhaps because of very high alcohol. The wine is unapologetic about that ripeness, instead asking only to be happily paired with barbecue.",US,California,20,87
118571,118571,People's Wine Revolution 2013 Salem Ranch Viognier (Dry Creek Valley),People's Wine Revolution 2013 Salem Ranch Viognier (Dry Creek Valley),People's Wine Revolution,Viognier,White,"Bone dry, delicately structured and crisp in acidity, this doesn't show the richness you expect from Viognier. But it's elegant, with layers of lemons, limes, apricots, white pepper and vanilla bean. Drink it now with modern Asian fare.",US,California,18,87
118575,118575,Rio Madre 2012  Rioja,Rio Madre 2012  Rioja,Rio Madre,Graciano,Red,"Jammy aromas of red berries, red licorice sticks and green herbs filter toward a pinched mouthfeel with creamy oak for an offset. Flavors of boysenberry are dilute but fresh and friendly. Overall, this is good and easy but simple, with gaps in its fiber.",Spain,Northern Spain,11,87
118577,118577,Solminer 2013 Linus Rosé (Santa Ynez Valley),Solminer 2013 Linus Rosé (Santa Ynez Valley),Solminer,Rosé,Rose,"The use of 100% Syrah gives a deep pink color that borders on purple. Aromas are rather strong too, with the flaky, buttered crust of a hot cherry pie running into the more bitter elements of citrus rinds. Those characters play leading roles on the palate as well, cherry candy toying with just-ripe grapefruit, providing tensions that keeps the sipping interesting. Just 72 cases produced.",US,California,22,87
118578,118578,Soquel Vineyards 2010 Luna Matta Vineyards Sangiovese (Paso Robles),Soquel Vineyards 2010 Luna Matta Vineyards Sangiovese (Paso Robles),Soquel Vineyards,Sangiovese,Red,"High in acidity, as Sangiovese tends to be, this wine also has the light, delicate mouthfeel of Pinot Noir. The alcohol gives it some body and heat, while the flavors veer toward black cherries. It's a good, interesting wine, although a bit rustic. Won't age, so drink now with rich Italian fare.",US,California,35,87
118583,118583,Tablas Creek 2013 Dianthus Estate Mourvèdre-Grenache-Counoise Rosé (Paso Robles),Tablas Creek 2013 Dianthus Estate Mourvèdre-Grenache-Counoise Rosé (Paso Robles),Tablas Creek,Rosé,Rose,"Picturesque with a crystalline salmon color, it begins with the scent of just-bitten nectarine. The following flavors of tart apple and a slightly bitter salinity ensure the uniqueness of this wine. Mourvèdre (57%) is in the lead, followed closely by Grenache (28%) and Counoise (15%), all coming from the original cuttings of the Château de Beaucastel. This age-worthy blend will be fun to track 2017–2019.",US,California,27,87
118593,118593,DiStefano 2011 Sémillon (Columbia Valley (WA)),DiStefano 2011 Sémillon (Columbia Valley (WA)),DiStefano,Sémillon,White,"This round, fruity and smooth-drinking Sémillon carries touches of herb and cucumber alongside its main fruit flavors of citrus and melon. There is a hint of heat on the finish.",US,Washington,28,89
118597,118597,Federico Paternina 2006 Clisos Reserva  (Rioja),Federico Paternina 2006 Clisos Reserva  (Rioja),Federico Paternina,Tempranillo,Red,"Dark in color and dense on the nose, this has aromas of pastry, blackberry, jammy plum and even an exotic note. It feels chewy and solid, with a full-bodied texture and deep flavors of black cherry and prune. It comes up a bit short and clipped on the finish.",Spain,Northern Spain,19,89
118600,118600,Sebastiani 2009 Barbera (Sonoma Valley),Sebastiani 2009 Barbera (Sonoma Valley),Sebastiani,Barbera,Red,"This is a big, lusty, fruit-forward wine. It shows Barbera's tannins, although they're soft and just need a steak to balance them out. The flavors are of rich, ripe blackberries and cherries. It's pretty much as elegant as Barbera gets, considering it is usually rather rustic in California.",US,California,26,89
118602,118602,Viña Mayor 2006 Secreto Reserva  (Ribera del Duero),Viña Mayor 2006 Secreto Reserva  (Ribera del Duero),Viña Mayor,Tempranillo,Red,"Attractive and fruity on the front end, this has pure berry aromas but not a lot of nuance or complexity. It narrows a bit on the palate, with tight tannins that support the black fruit and coffee flavors. Juicy, bright and solid on the finish.",Spain,Northern Spain,36,89
118604,118604,Lovingston 2010 Gilbert's Vineyard Pinotage (Monticello),Lovingston 2010 Gilbert's Vineyard Pinotage (Monticello),Lovingston,Pinotage,Red,"Paying homage to his birthplace of South Africa, winemaker Riaan Rossouw has crafted a Pinotage with explosive notes of spiced rose petal, charred sugar, coffee and dark fruit. The flavors are equally expressive, with juicy acidity that lends this medium- to full-bodied effort a salient succulence.",US,Virginia,25,88
118607,118607,Bodegas Bleda 2009 Divus Monastrell (Jumilla),Bodegas Bleda 2009 Divus Monastrell (Jumilla),Bodegas Bleda,Monastrell,Red,"Black in color and dense on the nose, this has well-oaked aromas of black fruit, lemon peel and cedar. It feels full and fresh, with good acidity and prickly tannins. It tastes juicy and clean, with berry, black plum, vanilla, tobacco and spice flavors that carry through onto the finish.",Spain,Levante,19,88
118609,118609,Buglioni 2009 Il Bugiardo  (Valpolicella Classico Superiore Ripasso),Buglioni 2009 Il Bugiardo  (Valpolicella Classico Superiore Ripasso),Buglioni,"Corvina, Rondinella, Molinara",Red,"“Il Bugiardo,” which is Italian for “the liar,” is an honest and plump wine, with soft berry aromas that are woven into spicy notes of clove, black pepper, leather and tobacco. The finish is velvety and smooth.",Italy,Veneto,36,88
118611,118611,Corte Archi 2008 Gli Archi  (Amarone della Valpolicella Classico),Corte Archi 2008 Gli Archi  (Amarone della Valpolicella Classico),Corte Archi,"Corvina, Rondinella, Molinara",Red,"Produced by vintner Fernando Campagnola, this shows a touch of apple skin as well as aromas of raspberry, currant and sweet tobacco. The finish is sweet and succulent, with a hint of candied almond on the close.",Italy,Veneto,50,88
118612,118612,Corteforte 2009 Podere Bertarole  (Valpolicella Classico Superiore Ripasso),Corteforte 2009 Podere Bertarole  (Valpolicella Classico Superiore Ripasso),Corteforte,"Corvina, Rondinella, Molinara",Red,"Having endured up to 8 months of oak aging, this offers modern touches of chocolate, spice and espresso bean that sit behind fresh aromas of black cherry and plum. The medium finish shows depth and length.",Italy,Veneto,25,88
118613,118613,Penguin Bay 2011 Pinot Grigio (Finger Lakes),Penguin Bay 2011 Pinot Grigio (Finger Lakes),Penguin Bay,Pinot Grigio,White,"Hints of honeycomb and beeswax add heft to the notes of fresh green flower and sweet citrus. Ripe yet elegantly composed, this has concentrated fruit flavors that extend onto a long, honeysuckle-kissed finish.",US,New York,16,88
